epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.1893,0.61058,0.725,1,0.61277,0.0001667,0.0001667,0.0001667
2,19.8838,0.27754,0.825,1,0.3362,0.000336207,0.000336207,0.000336207
3,27.9342,0.13013,0.825,1,0.39567,0.000491192,0.000491192,0.000491192
4,36.9972,0.1808,0.8,1,1.30371,0.000631653,0.000631653,0.000631653
5,46.1548,0.0966,0.8,1,1.49018,0.000757591,0.000757591,0.000757591
6,55.6259,0.04312,0.725,1,0.97233,0.000869007,0.000869007,0.000869007
7,64.3774,0.03536,0.65,1,0.919,0.0009659,0.0009659,0.0009659
8,73.7591,0.04919,0.575,1,2.65558,0.00104827,0.00104827,0.00104827
9,82.9787,0.039,0.575,1,1.82951,0.00111612,0.00111612,0.00111612
10,91.7269,0.09688,0.6,1,2.86015,0.00107288,0.00107288,0.00107288
11,101.168,0.02987,0.625,1,1.70775,0.00100687,0.00100687,0.00100687
12,111.358,0.05554,0.65,1,2.35653,0.000940855,0.000940855,0.000940855
13,121.343,0.06303,0.575,1,3.52288,0.000874842,0.000874842,0.000874842
14,131.554,0.05061,0.575,1,2.67815,0.000808828,0.000808828,0.000808828
15,142.479,0.04088,0.625,1,4.86104,0.000742815,0.000742815,0.000742815
16,153.323,0.04799,0.55,1,3.1296,0.000676802,0.000676802,0.000676802
17,163.049,0.06735,0.625,1,3.50974,0.000610789,0.000610789,0.000610789
18,171.622,0.01181,0.7,1,3.04627,0.000544776,0.000544776,0.000544776
19,183.909,0.0784,0.75,1,1.4589,0.000478762,0.000478762,0.000478762
20,193.248,0.03849,0.775,1,1.95806,0.000412749,0.000412749,0.000412749
21,202.279,0.01597,0.775,1,2.8581,0.000346736,0.000346736,0.000346736
22,211.963,0.01125,0.775,1,2.13788,0.000280723,0.000280723,0.000280723
23,222.373,0.03084,0.775,1,1.54031,0.00021471,0.00021471,0.00021471
24,232.705,0.01062,0.7,1,2.03038,0.000148696,0.000148696,0.000148696
25,241.63,0.01977,0.675,1,3.09592,8.26832e-05,8.26832e-05,8.26832e-05
